id,name,url,category,nviews,nvotes,average_note
40610,Remove Lug Nuts and Tires,http://www.wikihow.com/Remove-Lug-Nuts-and-Tires,Cars & Other Vehicles/Cars/Car Maintenance and Repair/Tires and Suspension,295236.0,11.0,78.0
40596,Install Lowering Springs,http://www.wikihow.com/Install-Lowering-Springs,Cars & Other Vehicles/Cars/Car Maintenance and Repair/Tires and Suspension,52456.0,14.0,79.0
16815,Jack Up a Car,http://www.wikihow.com/Jack-Up-a-Car,Cars & Other Vehicles/Cars/Car Safety and Security,8163.0,0.0,0.0
40566,Change a Hubcap,http://www.wikihow.com/Change-a-Hubcap,Cars & Other Vehicles/Cars/Car Maintenance and Repair/Tires and Suspension,67816.0,10.0,100.0
40567,Change a Tire,http://www.wikihow.com/Change-a-Tire,Cars & Other Vehicles/Cars/Car Maintenance and Repair/Tires and Suspension,1626912.0,2.0,40.0
44789,Add Oil to Your Car,http://www.wikihow.com/Add-Oil-to-Your-Car,Cars & Other Vehicles/Cars/Car Maintenance and Repair/Vehicle Fuels and Fluids,255059.0,26.0,85.0
108098,Build a Bookshelf,http://www.wikihow.com/Build-a-Bookshelf,Hobbies and Crafts/Woodworking/Building Shelves and Bookcases,228157.0,60.0,86.0
59684,Build Simple Floating Shelves,http://www.wikihow.com/Build-Simple-Floating-Shelves,Home and Garden/Home Improvements and Repairs/Furniture and Cabinets/Cabinets and Cupboards,1078794.0,85.0,81.0
89899,Build a Desk,http://www.wikihow.com/Build-a-Desk,Hobbies and Crafts/Woodworking/Making Tables,53578.0,40.0,43.0
110266,Install a Fireplace Mantel,http://www.wikihow.com/Install-a-Fireplace-Mantel,Home and Garden/Home Improvements and Repairs/Candles Lamps and Fireplaces,40824.0,9.0,56.0
50348,Make a Grilled Cheese and Pickle Sandwich,http://www.wikihow.com/Make-a-Grilled-Cheese-and-Pickle-Sandwich,Food and Entertaining/Recipes/Sandwiches and Quick Meals/Cheese Sandwiches,19440.0,8.0,75.0
76407,Make Challah French Toast,http://www.wikihow.com/Make-Challah-French-Toast,Food and Entertaining/Breakfast/French Toast,26247.0,5.0,80.0
14133,Cook Italian Sausage,http://www.wikihow.com/Cook-Italian-Sausage,Food and Entertaining/Recipes/Meat/Sausage,571380.0,29.0,76.0
57396,Make Vegan French Toast,http://www.wikihow.com/Make-Vegan-French-Toast,Food and Entertaining/Recipes/Vegetarian/Vegan/Vegan Baking,12950.0,5.0,80.0
76412,Make Eggnog French Toast,http://www.wikihow.com/Make-Eggnog-French-Toast,Food and Entertaining/Breakfast/French Toast,18280.0,2.0,100.0
26618,Make Blueberry Pancakes,http://www.wikihow.com/Make-Blueberry-Pancakes,Food and Entertaining/Breakfast/Pancakes/Fruit Pancakes,127874.0,11.0,82.0
76400,Make French Toast,http://www.wikihow.com/Make-French-Toast,Food and Entertaining/Breakfast/French Toast,7071912.0,12.0,92.0
93376,Grill Swordfish,http://www.wikihow.com/Grill-Swordfish,Food and Entertaining/Recipes/Fish and Seafood,310607.0,81.0,95.0
113766,Grill Steak,http://www.wikihow.com/Grill-Steak,Food and Entertaining/Barbecue,1291043.0,97.0,82.0
113764,Grill Kabobs,http://www.wikihow.com/Grill-Kabobs,Food and Entertaining/Barbecue,705423.0,127.0,89.0
41718,Grill Tri Tip,http://www.wikihow.com/Grill-Tri-Tip,Food and Entertaining/Recipes/Meat/Beef and Lamb,610429.0,50.0,94.0
41773,Make London Broil,http://www.wikihow.com/Make-London-Broil,Food and Entertaining/Recipes/Meat/Beef and Lamb,40873.0,2.0,100.0
118421,Grill Flank Steak,http://www.wikihow.com/Grill-Flank-Steak,Food and Entertaining/Recipes/Meat/Beef and Lamb/Steak Dishes,287571.0,51.0,90.0
41950,Make Rainbow Jello,http://www.wikihow.com/Make-Rainbow-Jello,Food and Entertaining/Recipes/Desserts and Sweets/Gelatin Desserts,709454.0,85.0,75.0
96141,Make Vanilla Ice Cream Without an Ice Cream Maker,http://www.wikihow.com/Make-Vanilla-Ice-Cream-Without-an-Ice-Cream-Maker,Food and Entertaining/Recipes/Desserts and Sweets/Ice Cream and Frozen Desserts,111901.0,55.0,65.0
81790,Make Vanilla Custard,http://www.wikihow.com/Make-Vanilla-Custard,Food and Entertaining/Recipes/Desserts and Sweets/Custards,68282.0,4.0,100.0
75501,Make Vegan Meringue,http://www.wikihow.com/Make-Vegan-Meringue,Food and Entertaining/Food Preparation/Meal Planning,908.0,0.0,0.0
85159,Make Battenburg Cake,http://www.wikihow.com/Make-Battenburg-Cake,Food and Entertaining/Recipes/Baking/Cakes/Sponge Cakes,78413.0,19.0,79.0
34938,Make Peppermint Meringue Cookies,http://www.wikihow.com/Make-Peppermint-Meringue-Cookies,Food and Entertaining/Recipes/Baking/Cookies and Biscuits,169.0,0.0,0.0
16136,Make a Black Forest Cake,http://www.wikihow.com/Make-a-Black-Forest-Cake,Food and Entertaining/Recipes/World Cuisines/European Cuisine/German Cuisine,327974.0,26.0,76.0
